"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"DDR2",-1.24179951078608,3.15521616255127,-9.53246614051684,4.35535221949573e-20,3.68513814910305e-19,34.4364947756399
"DAPK1",-1.28199655475173,4.88980050012862,-9.52901182295645,4.4822062099201e-20,3.78590158995546e-19,34.4081052200905
"CABYR",2.06333193700635,2.39428378812389,9.52396930654678,4.67398545136521e-20,3.94447158191154e-19,34.3666763338858
"NR4A1",-1.99612762062767,5.14574579814561,-9.51575642716566,5.00389681409864e-20,4.21923906465048e-19,34.2992340685453
"NGEF",1.68938274875032,2.2985388902918,9.51441422717834,5.05996460332679e-20,4.26467111748843e-19,34.2882162463609
"ARHGEF19",1.29391517260333,4.68757213269706,9.51425786367946,5.0665367411696e-20,4.26836570466655e-19,34.2869327664127
"UST",-1.30200805940184,2.72529359393465,-9.50916754912937,5.28517163624092e-20,4.44296131127615e-19,34.2451582531624
"TEF",-1.18870512895394,4.24010173708688,-9.50736430194519,5.36484511793102e-20,4.50411426323757e-19,34.2303634983484
"CWH43",-1.0875726038168,0.565961476887771,-9.50207902494274,5.60528812547734e-20,4.70193265854558e-19,34.1870121425139
"TCTEX1D4",-1.20427046826094,1.31007117222543,-9.50125567645815,5.64369409634623e-20,4.73211375584869e-19,34.1802603786428
"PTGIS",-1.57120933123855,3.6698858361535,-9.50068237261426,5.67059036947141e-20,4.75262243127636e-19,34.1755593248377
"GOLGA7B",1.7029913511284,3.05645437937241,9.49732601134497,5.83062050991092e-20,4.88464741429522e-19,34.148041518251
"FBLN1",-1.52912544981788,5.92875626298844,-9.49606301901161,5.89199163800434e-20,4.93394216041214e-19,34.1376884496052
"TBX15",1.85011360979169,2.33983638065508,9.49423411033996,5.98199803805148e-20,5.00716342215099e-19,34.1226981946471
"CBFA2T3",-1.09483234407043,2.02487390051914,-9.49346465409996,6.02027142292414e-20,5.03498007057517e-19,34.1163921398747
"STOML3",-1.65733955972734,1.19414418869688,-9.49346220676301,6.02039354180449e-20,5.03498007057517e-19,34.1163720833931
"C19orf38",-1.02481361342555,2.60014461851277,-9.48600767997301,6.40399029534746e-20,5.34890889636666e-19,34.0552979875627
"PIH1D3",-1.25906737345673,0.775287459640943,-9.48416422070125,6.50252786619819e-20,5.42888702801641e-19,34.0402001139516
"THRB",-1.0974806652555,2.08402351786993,-9.47963974602992,6.75078770603636e-20,5.63133501415001e-19,34.0031538555552
"ZYG11A",1.29190304593162,1.23690800227762,9.47772895058277,6.85843392666889e-20,5.71463402836825e-19,33.9875121839558
"COL5A1",1.7183196021098,5.86914624385918,9.47737474044027,6.87857471747191e-20,5.72813162744896e-19,33.9846128903066
"AKT3",-1.15989570432897,3.02704712919343,-9.47679857065139,6.91146167233469e-20,5.75306175823916e-19,33.9798969729718
"CFAP52",-1.5560745982055,1.37557592380197,-9.4686124405802,7.39590023256092e-20,6.14843317287449e-19,33.9129165022262
"EGR1",-1.81489403261739,7.44307416962451,-9.4621289417048,7.80333265323541e-20,6.48161825962735e-19,33.8598971901692
"SLC22A18",1.13902407940713,4.15263982720204,9.45900244520723,8.00767851914584e-20,6.64286491530843e-19,33.8343394770415
"FCGR3A",-1.58681924792149,6.56458443143648,-9.44931939854251,8.67480031213891e-20,7.18101148079988e-19,33.7552239422156
"SEMA3D",-1.00587892813441,1.1848587117289,-9.44683244696995,8.85484960736656e-20,7.31763270730805e-19,33.7349137856299
"COL4A3",-1.74350551280126,2.80785514655446,-9.44398032409585,9.06589868655535e-20,7.48569949550758e-19,33.711626187788
"CSTA",-1.53676972839592,3.93529990530947,-9.43408136499214,9.83780797213292e-20,8.11619157700966e-19,33.6308409319946
"GPRC5A",-1.66004383004047,7.56190713468911,-9.43292508581754,9.93211746210715e-20,8.19053221410045e-19,33.6214085871668
"DSCC1",1.21411330025799,2.94236088960369,9.41912172246436,1.11295634508336e-19,9.14321297310897e-19,33.5088728662385
"MAP1LC3C",-1.65272401102319,2.351174444551,-9.41838126043071,1.11976945798825e-19,9.195311048061e-19,33.5028394468958
"BDH1",1.00260543541179,2.89048129609596,9.41435857617957,1.15751133925732e-19,9.49324796027568e-19,33.4700679391279
"NRGN",-2.07201388309974,5.41700419237538,-9.4134220452058,1.16647743962526e-19,9.56276145649913e-19,33.4624397921697
"CERCAM",1.23578673888869,4.59700270311718,9.41110507218053,1.18895633548156e-19,9.7429476516373e-19,33.4435701773775
"TUBA4B",-1.75057537710995,1.44594695849815,-9.40433890184265,1.25708692210958e-19,1.02710373866373e-18,33.388485378277
"PDZRN3",-1.1109734267916,2.524878711682,-9.4035902636126,1.26485888200982e-19,1.03302105426456e-18,33.3823923386339
"DTX2",1.06292650123726,4.48271113214478,9.39977732574578,1.30518759655197e-19,1.06551166578288e-18,33.3513649881517
"CD44",-1.23787463529484,6.59991893411301,-9.39961393622271,1.30694391487497e-19,1.06649904484546e-18,33.3500356300355
"MYO1F",-1.07895952445689,3.69721693913149,-9.39871251223306,1.31667574609594e-19,1.07399109477662e-18,33.3427018326988
"SLCO4C1",-1.80070120109354,2.99164438062298,-9.3976562245087,1.32817089012734e-19,1.08291458487264e-18,33.3341087510416
