"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PLK1",-1.28909354925936,3.83033343323645,-15.0026070589167,2.89771125808121e-42,1.0275284121156e-39,85.2698486697771
"MGP",1.42091794354499,7.52883044607648,14.9904580864096,3.28732603484345e-42,1.14486999388485e-39,85.1449149437564
"NCAPH",-1.32721639872144,3.47955544421123,-14.9629935588348,4.37157204877023e-42,1.49576788889764e-39,84.8626239071944
"KIF4A",-1.42852833057168,3.4601026702795,-14.9330702579714,5.96237229905438e-42,1.99733723023636e-39,84.5552824775479
"RAD51",-1.04534819355273,2.77349627889258,-14.9317858762598,6.04229588186153e-42,1.99733723023636e-39,84.5420958246347
"PIGR",3.19489522146114,7.3262028019554,14.9053029257172,7.95058951982853e-42,2.54608593518769e-39,84.2702930251896
"SGO1",-1.04860516176605,2.01689483537957,-14.9051468738496,7.96345393254624e-42,2.54608593518769e-39,84.2686919581478
"MYBL2",-1.82784839026978,5.20796856386706,-14.8948705903724,8.85793590051823e-42,2.7863923204485e-39,84.1632729561959
"CHRDL1",1.78758831091431,3.27559032041607,14.8368205326749,1.61533659144736e-41,5.00062056238062e-39,83.5682885822232
"ADGRF5",1.8056295182393,6.13846742607813,14.8320633472718,1.69679401582791e-41,5.17071463917058e-39,83.5195691959995
"KPNA2",-1.15961519013527,6.48493131158909,-14.7966914881289,2.44576184232384e-41,7.33841434012952e-39,83.1575065867238
"BTNL9",1.20880280741522,1.70678078259797,14.7901537796377,2.61665380737823e-41,7.73221200080267e-39,83.0906237715687
"CDC45",-1.29640192161835,3.29265934982088,-14.7658591342048,3.36281741771934e-41,9.78881016384782e-39,82.8421820510955
"EXO1",-1.25420136552363,2.67802035706351,-14.7546723178176,3.77442709185077e-41,1.08253899371126e-38,82.7278367234281
"PRC1",-1.18837129759871,4.00828088587298,-14.7108124853442,5.93366361684767e-41,1.67716292057073e-38,82.2798515452742
"SELENBP1",1.66137650201247,6.85679248338726,14.6701475490676,9.02155122324805e-41,2.5135330501001e-38,81.8649650216832
"PIMREG",-1.27836869468245,2.64796616451753,-14.6495139802256,1.11566260369139e-40,3.06461517743565e-38,81.6546223518265
"MFAP4",1.72256782572361,6.35473436165921,14.6239909242967,1.45069177695235e-40,3.92956135081967e-38,81.394596919677
"IL33",1.49485152585782,4.07644871355328,14.5648160757809,2.66489838117721e-40,6.92980175041322e-38,80.7924238053752
"DPYSL2",1.08464093511929,5.87125786481309,14.5622566723008,2.73586156165956e-40,7.02072474171663e-38,80.7664008306494
"CACNA2D2",2.21339870859201,3.77251085130919,14.5535085140896,2.9929529196031e-40,7.58072218065186e-38,80.6774669094188
"DEPDC1",-1.27049801877376,2.38709498123332,-14.5406369289286,3.41565583447964e-40,8.54045329998159e-38,80.5466530338103
"OIP5",-1.10988529026799,2.63388904176646,-14.5339412358162,3.65857330131643e-40,9.03204494880688e-38,80.4786230613689
"CDKN3",-1.35174031240711,3.61419031135582,-14.5052280532704,4.91137343702304e-40,1.19733145177825e-37,80.1870324032741
"UBE2T",-1.2346265053551,5.47230486317421,-14.5028777872551,5.03114474931949e-40,1.21138785241948e-37,80.1631750441721
"TMPRSS2",1.70613849779804,5.31453664870038,14.4992197825306,5.22338022536475e-40,1.24233639677181e-37,80.1260460344167
"MAD2L1",-1.18345739046352,3.21080690137437,-14.4785447116194,6.45598990688765e-40,1.51191407049036e-37,79.916263629341
"FOXM1",-1.46185697509691,4.07881272824651,-14.4777035993388,6.51185878691431e-40,1.51191407049036e-37,79.9077317293976
"PRR11",-1.29488737536753,3.48393168540797,-14.4700840671685,7.04045169253915e-40,1.61541093364225e-37,79.8304514367775
"TTK",-1.26584897341188,2.66266315663647,-14.4625398582805,7.60595879490426e-40,1.72487226019788e-37,79.7539513276715
"TCF21",1.20314386923248,1.96134167581928,14.4156346911702,1.22916675058161e-39,2.75545277432105e-37,79.2786851637187
"CD302",1.12281194715881,3.4076918459369,14.4134461535678,1.25698616182928e-39,2.78579558115414e-37,79.2565251773899
"DSCC1",-1.07207655810857,3.0639939613819,-14.4047559874385,1.37378645977368e-39,3.01044464325462e-37,79.1685466577909
"DUOX1",1.64272001544411,3.25140471274178,14.402149033241,1.41089143598763e-39,3.0574017417852e-37,79.1421582962182
"RNASE1",1.66200765810051,9.49963991158972,14.3986716240955,1.46194588284636e-39,3.13322313770907e-37,79.1069619709231
"LRRK2",1.94123528830444,3.5977946094209,14.3784184366604,1.79810014420905e-39,3.81177686005533e-37,78.9020400543128
"ANLN",-1.50917992968801,4.1460444856868,-14.3675687480601,2.00882986918724e-39,4.2127106385762e-37,78.7923114633437
"GGTLC1",2.52236426026953,3.72484839796215,14.3405697479845,2.64634745743729e-39,5.49060792153186e-37,78.519404250797
"ESPL1",-1.17722199410574,2.34795561862283,-14.331671254751,2.89787380204988e-39,5.88721174597695e-37,78.4295041902551
"DLGAP5",-1.37440185186214,3.50032310740319,-14.2898240702801,4.44003319665431e-39,8.87374607329692e-37,78.0070382952851
"PLA2G1B",2.18720299407024,2.86378819444624,14.2894070701601,4.4589402409019e-39,8.87374607329692e-37,78.0028310710617
"CLEC3B",1.50025976708,4.03086124848294,14.2765977105277,5.08052665414598e-39,1.00086375086676e-36,77.8736189177564
"KIF18B",-1.34893125862214,2.89306255052184,-14.260584013856,5.98045954870578e-39,1.16636902578409e-36,77.7121514149537
"CDCA8",-1.23353314292678,4.34832640434383,-14.1046560447796,2.91509367888429e-38,5.57383059012552e-36,76.1439003743755
"ITGA8",1.14754832920662,2.64854717365307,14.0971614806003,3.14511962534218e-38,5.89800654356237e-36,76.0687075061226
"C1orf116",1.88712976607701,6.33754695723005,14.091186054031,3.34141635544296e-38,6.20644220763849e-36,76.0087683387776
"SPAG5",-1.21062756223603,3.92366993118093,-14.0473756415365,5.2067182236081e-38,9.57987033160648e-36,75.5696406192748
